#SN, zhelio, MJD, epoch, at_max_flag
sn1998bu 0.00290 50949.000 -3.689 0
sn1998bu 0.00290 50964.000 11.267 0
sn1998bu 0.00290 50992.000 39.186 0
sn1998bu 0.00290 50990.000 37.192 0
sn1998bu 0.00290 50966.000 13.262 0
sn1998bu 0.00290 50996.000 43.175 0
sn1998bu 0.00290 50993.000 40.183 0
sn1998bu 0.00290 51606.000 651.411 0
sn1998bu 0.00290 50962.000 9.273 0
sn1998bu 0.00290 50984.000 31.209 0
sn1998bu 0.00290 50988.000 35.198 0
sn1998bu 0.00290 51009.000 56.137 0
sn1998bu 0.00290 50986.000 33.204 0
sn1998bu 0.00290 50963.000 10.270 0
sn1998bu 0.00290 50965.000 12.264 0
sn1998bu 0.00290 50948.000 -4.686 0
sn1998bu 0.00290 50980.000 27.221 0
sn1998bu 0.00290 50994.000 41.181 0
sn1998bu 0.00290 50981.000 28.218 0
sn1998bu 0.00290 50982.000 29.215 0
sn1998bu 0.00290 51008.000 55.140 0
sn1998bu 0.00290 50991.000 38.189 0
sn1998bu 0.00290 50985.000 32.207 0
sn1998bu 0.00290 50983.000 30.212 0
sn1998bu 0.00290 50979.000 26.224 0
sn1998bu 0.00290 50951.000 -1.695 1
sn1999aa 0.01440 51234.000 1.577 1
sn1999aa 0.01440 51282.000 48.896 0
sn1999aa 0.01440 51249.000 16.364 0
sn1999aa 0.01440 51268.000 35.095 0
sn1999aa 0.01440 51293.000 59.740 0
sn1999aa 0.01440 51260.000 27.208 0
sn1999aa 0.01440 51275.000 41.995 0
sn1999aa 0.01440 51224.000 -8.281 0
sn1999aa 0.01440 51254.000 21.293 0
sn1999aa 0.01440 51228.000 -4.338 0
sn1999aa 0.01440 51286.000 52.839 0
sn1999aa 0.01440 51263.000 30.166 0
sn2003cg 0.00410 52733.000 3.585 0
sn2003cg 0.00410 52723.000 -6.374 0
sn2003cg 0.00410 52721.000 -8.366 0
sn2003cg 0.00410 52745.000 15.536 0
sn2003cg 0.00410 52728.000 -1.394 1
sn2003cg 0.00410 52730.000 0.598 1
sn2003cg 0.00410 52722.000 -7.370 0
sn2003cg 0.00410 52739.000 9.561 0
sn2003cg 0.00410 52741.000 11.553 0
sn2003cg 0.00410 52781.000 51.389 0
sn2003cg 0.00410 52755.000 25.495 0
sn2003cg 0.00410 52740.000 10.557 0
sn2003cg 0.00410 52736.000 6.573 0
sn2003cg 0.00410 52724.000 -5.378 0
sn2004dt 0.01973 53286.000 45.321 0
sn2004dt 0.01973 53256.000 15.892 0
sn2004dt 0.01973 53236.000 -3.728 0
sn2004dt 0.01973 53235.000 -4.709 0
sn2004dt 0.01973 53233.000 -6.671 0
sn2004dt 0.01973 53233.000 -6.671 0
sn2004dt 0.01973 53235.000 -4.709 0
sn2004dt 0.01973 53243.000 3.139 0
sn2004dt 0.01973 53230.000 -9.613 0
sn2004dt 0.01973 53242.000 2.158 1
sn2004dt 0.01973 53253.000 12.949 0
sn2004dt 0.01973 53276.000 35.511 0
sn2004dt 0.01973 53241.000 1.177 1
sn2004dt 0.01973 53232.000 -7.652 0
sn2004dt 0.01973 53260.000 19.816 0
sn2004dt 0.01973 53229.000 -10.594 0
sn2004dt 0.01973 53238.000 -1.766 1
sn2004dt 0.01973 53238.000 -1.766 1
sn2004dt 0.01973 53237.000 -2.747 1
sn1990O 0.03066 48092.000 15.451 0
sn2002er 0.00910 52527.000 2.081 1
sn2002er 0.00910 52520.000 -4.856 0
sn2002er 0.00910 52548.000 22.892 0
sn2002er 0.00910 52519.000 -5.847 0
sn2002er 0.00910 52521.000 -3.865 0
sn2002er 0.00910 52517.000 -7.829 0
sn2002er 0.00910 52535.000 10.009 0
sn2002er 0.00910 52523.000 -1.883 1
sn2002er 0.00910 52540.000 14.964 0
sn2002er 0.00910 52512.000 -12.784 0
sn2002er 0.00910 52528.000 3.072 0
sn2002er 0.00910 52539.000 13.973 0
sn2002er 0.00910 52536.000 11.000 0
sn2002er 0.00910 52529.000 4.063 0
sn2002er 0.00910 52543.000 17.937 0
sn2002er 0.00910 52514.000 -10.802 0
sn2002er 0.00910 52522.000 -2.874 1
sn2002er 0.00910 52525.000 0.099 1
sn2002er 0.00910 52557.000 31.811 0
sn1999by 0.00220 51337.000 27.739 0
sn1999by 0.00220 51312.000 2.794 1
sn1999by 0.00220 51333.000 23.748 0
sn1999by 0.00220 51311.000 1.796 1
sn1999by 0.00220 51314.000 4.789 0
sn1999by 0.00220 51315.000 5.787 0
sn1999by 0.00220 51341.000 31.730 0
sn1999by 0.00220 51339.000 29.735 0
sn1999by 0.00220 51303.000 -6.186 0
sn1999by 0.00220 51304.000 -5.189 0
sn1999by 0.00220 51305.000 -4.191 0
sn1999by 0.00220 51313.000 3.792 0
sn1999by 0.00220 51316.000 6.785 0
sn1999by 0.00220 51350.000 40.710 0
sn1994D 0.00290 49430.000 -2.493 1
sn1994D 0.00290 49422.000 -10.470 0
sn1994D 0.00290 49538.000 105.195 0
sn1994D 0.00290 49445.000 12.464 0
sn1994D 0.00290 49424.000 -8.475 0
sn1994D 0.00290 49508.000 75.282 0
sn1994D 0.00290 49423.000 -9.473 0
sn1994D 0.00290 49482.000 49.357 0
sn1994D 0.00290 49486.000 53.345 0
sn1994D 0.00290 49434.000 1.496 1
sn1994D 0.00290 49421.000 -11.467 0
sn1994D 0.00290 49427.000 -5.484 0
sn1994D 0.00290 49456.000 23.432 0
sn1994D 0.00290 49447.000 14.458 0
sn1994D 0.00290 49444.000 11.467 0
sn1994D 0.00290 49451.000 18.447 0
sn1994D 0.00290 49449.000 16.452 0
sn1994D 0.00290 49436.000 3.490 0
sn1994D 0.00290 49443.000 10.470 0
sn1994D 0.00290 49428.000 -4.487 0
sn2005cf 0.00650 53531.000 -2.683 1
sn2005cf 0.00650 53536.000 2.285 1
sn2005cf 0.00650 53616.000 81.769 0
sn2005cf 0.00650 53538.000 4.272 0
sn2005cf 0.00650 53537.000 3.279 0
sn2005cf 0.00650 53525.000 -8.644 0
sn2005cf 0.00650 53547.000 13.214 0
sn2005cf 0.00650 53527.000 -6.657 0
sn2005cf 0.00650 53526.000 -7.650 0
sn2005cf 0.00650 53563.000 29.111 0
sn2005cf 0.00650 53532.000 -1.689 1
sn2005cf 0.00650 53530.000 -3.676 0
sn2005cf 0.00650 53560.000 26.130 0
sn2005cf 0.00650 53523.000 -10.631 0
sn2005cf 0.00650 53531.000 -2.683 1
sn2005cf 0.00650 53537.000 3.279 0
sn2005cf 0.00650 53545.000 11.227 0
sn2005cf 0.00650 53537.000 3.279 0
sn2005cf 0.00650 53561.000 27.124 0
sn2005cf 0.00650 53535.000 1.292 1
sn2005cf 0.00650 53552.000 18.182 0
sn2005cf 0.00650 53570.000 36.066 0
sn2005cf 0.00650 53561.000 27.124 0
sn2005cf 0.00650 53531.000 -2.683 1
sn2005cf 0.00650 53539.000 5.266 0
sn2005cf 0.00650 53550.000 16.195 0
sn2005cf 0.00650 53542.000 8.246 0
sn2005cf 0.00650 53558.000 24.143 0
sn2005cf 0.00650 53557.000 23.150 0
sn2005cf 0.00650 53585.000 50.969 0
sn2005cf 0.00650 53533.000 -0.695 1
sn2005cf 0.00650 53523.000 -10.631 0
sn2005cf 0.00650 53525.000 -8.644 0
sn2005cf 0.00650 53530.000 -3.676 0
sn2005cf 0.00650 53552.000 18.182 0
sn2005cf 0.00650 53538.000 4.272 0
sn2005cf 0.00650 53608.000 73.820 0
sn2005cf 0.00650 53521.000 -12.618 0
sn2005cf 0.00650 53524.000 -9.637 0
sn2005cf 0.00650 53610.000 75.807 0
sn2005cf 0.00650 53580.000 46.001 0
sn2005cf 0.00650 53533.000 -0.695 1
sn2005cf 0.00650 53577.000 43.020 0
sn2005cf 0.00650 53535.000 1.292 1
sn2005cf 0.00650 53532.000 -1.689 1
sn2005cf 0.00650 53522.000 -11.624 0
sn2005cf 0.00650 53534.000 0.298 1
sn2005cf 0.00650 53532.000 -1.689 1
sn2005cf 0.00650 53526.000 -7.650 0
sn2005cf 0.00650 53523.000 -10.631 0
sn2005cf 0.00650 53579.000 45.007 0
sn2005cf 0.00650 53523.000 -10.631 0
sn2005cf 0.00650 53529.000 -4.670 0
sn2005cf 0.00650 53526.000 -7.650 0
sn2005cf 0.00650 53558.000 24.143 0
sn2005cf 0.00650 53549.000 15.201 0
sn2005cf 0.00650 53527.000 -6.657 0
sn2005cf 0.00650 53522.000 -11.624 0
sn2005cf 0.00650 53540.000 6.259 0
sn2005cf 0.00650 53545.000 11.227 0
sn2005cf 0.00650 53559.000 25.137 0
sn2005cf 0.00650 53524.000 -9.637 0
sn2005cf 0.00650 53529.000 -4.670 0
sn2005cf 0.00650 53527.000 -6.657 0
sn2005cf 0.00650 53528.000 -5.663 0
sn2005cf 0.00650 53530.000 -3.676 0
sn2005cf 0.00650 53562.000 28.117 0
sn2005cf 0.00650 53538.000 4.272 0
sn2005cf 0.00650 53524.000 -9.637 0
sn2005cf 0.00650 53532.000 -1.689 1
sn2005cf 0.00650 53521.000 -12.618 0
sn2005cf 0.00650 53562.000 28.117 0
sn1991S 0.05500 48362.000 13.041 0
sn2006gz 0.02340 54030.000 10.064 0
sn2006gz 0.02340 54031.000 11.042 0
sn2006gz 0.02340 54028.000 8.110 0
sn2006gz 0.02340 54006.000 -13.387 0
sn2006gz 0.02340 54027.000 7.133 0
sn2006gz 0.02340 54011.000 -8.501 0
sn2006gz 0.02340 54029.000 9.087 0
sn2006gz 0.02340 54006.000 -13.387 0
sn2006gz 0.02340 54010.000 -9.478 0
sn2006gz 0.02340 54008.000 -11.432 0
sn2006gz 0.02340 54007.000 -12.410 0
nan nan nan nan 0
nan nan nan nan 0
sn1996X 0.00680 50191.000 -0.099 1
sn1996X 0.00680 50192.000 0.894 1
sn1996X 0.00680 50278.000 86.313 0
sn1996X 0.00680 50189.000 -2.086 1
sn1996X 0.00680 50213.000 21.752 0
sn1996X 0.00680 50215.000 23.739 0
sn1996X 0.00680 50248.000 56.516 0
sn1996X 0.00680 50198.000 6.853 0
sn1996X 0.00680 50247.000 55.522 0
sn1996X 0.00680 50222.000 30.691 0
sn2008bv 0.05587 54584.315 nan 0
sn2007qd 0.04315 54416.535 nan 0
sn1998dj 0.01360 51056.466 nan 0
sn2002jg 0.01570 52620.166 10.110 0
sn1998cs 0.03260 51011.387 nan 0
sn1994D 0.00290 49481.000 48.600 0
sn2005el 0.01491 53654.512 8.090 0
sn2001cp 0.02240 52117.258 28.620 0
sn1993ac 0.05030 49282.525 12.680 0
sn2002he 0.02460 52586.000 0.290 1
sn2007ca 0.01407 54216.305 -11.140 0
sn2002df 0.02870 52433.435 6.550 0
sn2002er 0.00910 52530.142 5.260 0
sn2006lf 0.01320 54059.276 14.290 0
sn2008ee 0.01338 54704.317 nan 0
sn2000ey 0.02050 51877.157 7.900 0
sn2006ct 0.03146 53906.328 nan 0
sn2008ds 0.02103 54651.421 nan 0
sn2006ct 0.03146 53912.277 nan 0
sn2005eq 0.02898 53647.512 -6.010 0
sn2005M 0.02462 53413.430 9.230 0
sn2000df 0.03921 51782.225 nan 0
sn2007le 0.00672 54446.199 47.180 0
sn2001V 0.01510 51989.368 15.860 0
sn2005ej 0.03790 53650.224 nan 0
sn2006kf 0.02130 54038.385 -3.050 0
sn2003S 0.03980 52674.428 nan 0
sn2008s1 0.02210 54627.207 15.370 0
sn2007sr 0.00548 54584.243 135.700 0
sn2008dr 0.04145 54646.389 nan 0
sn2006sr 0.02440 54089.097 -2.340 1
sn2001ep 0.01300 52207.556 7.850 0
sn2003D 0.02300 52646.000 9.980 0
sn1993Z 0.00452 49282.548 55.800 0
sn1999cw 0.01240 51368.477 14.790 0
sn2005eq 0.02898 53650.633 -2.980 1
sn2002bo 0.00430 52384.308 27.940 0
sn2006gr 0.03460 54032.150 19.280 0
sn2001dt 0.02984 52164.306 13.600 0
sn2008ec 0.01632 54746.343 71.580 0
sn2005gj 0.06000 53736.388 74.610 0
sn2006dv 0.03300 53949.319 nan 0
sn2003ai 0.03620 52698.000 7.250 0
sn2007qe 0.02390 54422.104 -6.540 0
sn1998bn 0.00610 50982.216 nan 0
sn1996ai 0.00290 50256.331 nan 0
sn2007fb 0.01800 54319.461 32.380 0
sn2003du 0.00640 52847.194 80.980 0
sn2000dm 0.01490 51849.166 33.760 0
sn2001eh 0.03710 52207.173 36.710 0
sn2003F 0.01730 52674.202 nan 0
sn2004br 0.02316 53176.226 26.900 0
sn1993aj 0.07760 49371.542 nan 0
sn2002ef 0.02360 52520.328 28.930 0
